Customer ID,Age,agr_group,Gender,Item Purchased,Category,Purchase Amount (USD),Purchase Amount in INR,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
39,29,Young adults,Male,Dress,Clothing,37,3138.71,Florida,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,70,Seniors ,Male,Pants,Clothing,60,5089.8,Arizona,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Monthly
41,69,Seniors ,Male,Handbag,Accessories,76,6447.08,Louisiana,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,Seniors ,Male,Scarf,Accessories,39,3308.37,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,Yes,40,Venmo,Annually
43,20,Young adults,Male,Coat,Outerwear,100,8483,Tennessee,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,Annually
44,25,Young adults,Male,Scarf,Accessories,69,5853.27,Ohio,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,39,adults,Male,Hat,Accessories,53,4495.99,Kentucky,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,50,Middle-aged adults,Male,Socks,Clothing,21,1781.43,Tennessee,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,57,Middle-aged adults,Male,Shirt,Clothing,43,3647.69,California,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,Middle-aged adults,Male,Jewelry,Accessories,54,4580.82,Montana,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,adults,Male,Shirt,Clothing,55,4665.65,Nevada,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,Seniors ,Male,Hoodie,Clothing,30,2544.9,New Jersey,S,Indigo,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Middle-aged adults,Male,Blouse,Clothing,28,2375.24,Maryland,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,Middle-aged adults,Male,Skirt,Clothing,59,5004.97,Vermont,XL,Gray,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,adults,Male,T-shirt,Clothing,20,1696.6,Alaska,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,Young adults,Male,Skirt,Clothing,24,2035.92,Mississippi,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,Middle-aged adults,Male,Coat,Outerwear,94,7974.02,New Mexico,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,adults,Male,Jacket,Outerwear,28,2375.24,South Carolina,M,Lavender,Winter,3,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,adults,Male,Backpack,Accessories,73,6192.59,Mississippi,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,Young adults,Male,Coat,Outerwear,64,5429.12,West Virginia,M,White,Summer,4.4,Yes,PayPal,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,Seniors ,Male,Hoodie,Clothing,54,4580.82,Missouri,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,63,Seniors ,Male,Belt,Accessories,79,6701.57,Louisiana,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,Middle-aged adults,Male,Sweater,Clothing,37,3138.71,Idaho,L,Brown,Summer,4,Yes,Credit Card,Express,Yes,Yes,17,Cash,Weekly
62,55,Middle-aged adults,Male,Scarf,Accessories,68,5768.44,Texas,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,30,Young adults,Male,Sneakers,Footwear,21,1781.43,Mississippi,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,adults,Male,Sunglasses,Accessories,79,6701.57,Arizona,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,Seniors ,Male,Boots,Footwear,83,7040.89,Alabama,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,Seniors ,Male,Backpack,Accessories,36,3053.88,New Jersey,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
67,31,adults,Male,Blouse,Clothing,94,7974.02,Pennsylvania,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
68,45,adults,Male,Coat,Outerwear,33,2799.39,Connecticut,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,Middle-aged adults,Male,Handbag,Accessories,46,3902.18,Utah,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,48,Middle-aged adults,Male,Belt,Accessories,70,5938.1,Tennessee,S,Cyan,Summer,4.4,Yes,Credit Card,Express,Yes,Yes,5,Cash,Weekly
71,22,Young adults,Male,Belt,Accessories,29,2460.07,Alabama,M,Magenta,Fall,4.2,Yes,Credit Card,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,adults,Male,Dress,Clothing,48,4071.84,Virginia,L,Gold,Summer,2.9,Yes,Debit Card,Express,Yes,Yes,34,Bank Transfer,Annually
73,18,children,Male,Dress,Clothing,26,2205.58,Georgia,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,48,Middle-aged adults,Male,Pants,Clothing,85,7210.55,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,49,Middle-aged adults,Male,Gloves,Accessories,58,4920.14,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3,Cash,Monthly
76,64,Seniors ,Male,Scarf,Accessories,85,7210.55,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,Middle-aged adults,Male,Hat,Accessories,43,3647.69,Delaware,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,22,Young adults,Male,Dress,Clothing,53,4495.99,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,Middle-aged adults,Male,Skirt,Clothing,91,7719.53,Nebraska,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,38,adults,Male,Jacket,Outerwear,96,8143.68,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,19,Young adults,Male,Sandals,Footwear,72,6107.76,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,67,Seniors ,Male,Shoes,Footwear,96,8143.68,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,19,Young adults,Male,Pants,Clothing,28,2375.24,Georgia,S,Olive,Spring,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36,adults,Male,Dress,Clothing,40,3393.2,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,52,Middle-aged adults,Male,Coat,Outerwear,32,2714.56,Arizona,S,Peach,Spring,4.4,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,53,Middle-aged adults,Male,Sunglasses,Accessories,95,8058.85,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,Young adults,Male,Hoodie,Clothing,41,3478.03,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,52,Middle-aged adults,Male,Shoes,Footwear,53,4495.99,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,adults,Male,T-shirt,Clothing,47,3987.01,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,Middle-aged adults,Male,Jacket,Outerwear,83,7040.89,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,Young adults,Male,Hat,Accessories,48,4071.84,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Monthly
92,44,adults,Male,Scarf,Accessories,99,8398.17,South Carolina,S,Green,Winter,4.6,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Seniors ,Male,Jacket,Outerwear,87,7380.21,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,37,adults,Male,Sweater,Clothing,62,5259.46,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,Middle-aged adults,Male,Skirt,Clothing,76,6447.08,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,adults,Male,Sneakers,Footwear,100,8483,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,32,adults,Male,Gloves,Accessories,73,6192.59,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months
98,21,Young adults,Male,Shoes,Footwear,92,7804.36,Virginia,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,Young adults,Male,Jeans,Clothing,67,5683.61,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,26,Young adults,Male,Hoodie,Clothing,40,3393.2,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,Seniors ,Male,Sunglasses,Accessories,98,8313.34,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,Express,Yes,Yes,31,Cash,Fortnightly
102,27,Young adults,Male,Coat,Outerwear,85,7210.55,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,Middle-aged adults,Male,Socks,Clothing,67,5683.61,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,Middle-aged adults,Male,Boots,Footwear,89,7549.87,West Virginia,L,Red,Winter,4,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
105,55,Middle-aged adults,Male,Sunglasses,Accessories,24,2035.92,New Hampshire,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,69,Seniors ,Male,Backpack,Accessories,96,8143.68,New York,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,Seniors ,Male,Jacket,Outerwear,35,2969.05,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,Young adults,Male,Sneakers,Footwear,67,5683.61,Maryland,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,70,Seniors ,Male,Socks,Clothing,79,6701.57,Montana,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,Middle-aged adults,Male,T-shirt,Clothing,85,7210.55,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,Middle-aged adults,Male,Backpack,Accessories,26,2205.58,New York,M,Black,Summer,4,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Fortnightly
112,26,Young adults,Male,Belt,Accessories,75,6362.25,Massachusetts,L,Purple,Summer,5,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,adults,Male,Gloves,Accessories,65,5513.95,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
114,44,adults,Male,Hat,Accessories,54,4580.82,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,70,Seniors ,Male,Coat,Outerwear,95,8058.85,Massachusetts,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,Middle-aged adults,Male,Skirt,Clothing,94,7974.02,Wyoming,M,Gray,Spring,3.8,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,55,Middle-aged adults,Male,Shoes,Footwear,86,7295.38,Virginia,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Annually
118,50,Middle-aged adults,Male,Sandals,Footwear,32,2714.56,South Dakota,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Fortnightly
119,50,Middle-aged adults,Male,Sweater,Clothing,45,3817.35,Kentucky,L,Orange,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,38,adults,Male,Coat,Outerwear,76,6447.08,Wyoming,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually
121,64,Seniors ,Male,Hat,Accessories,84,7125.72,West Virginia,L,Red,Summer,4,Yes,PayPal,Express,Yes,Yes,32,Bank Transfer,Annually
122,19,Young adults,Male,Shorts,Clothing,72,6107.76,Virginia,M,Olive,Winter,4.2,Yes,Cash,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,adults,Male,Backpack,Accessories,40,3393.2,Washington,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,Middle-aged adults,Male,Sweater,Clothing,89,7549.87,Louisiana,L,Brown,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,adults,Male,Sweater,Clothing,86,7295.38,Nevada,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,Yes,Yes,50,PayPal,Annually
126,49,Middle-aged adults,Male,Shorts,Clothing,54,4580.82,California,M,Indigo,Winter,3.6,Yes,Cash,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
127,43,adults,Male,Shorts,Clothing,36,3053.88,Mississippi,L,Pink,Spring,3.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24,Young adults,Male,Sweater,Clothing,89,7549.87,Mississippi,M,Gray,Winter,4.8,Yes,Venmo,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,Young adults,Male,Scarf,Accessories,32,2714.56,California,M,Gold,Spring,4.7,Yes,Venmo,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,Young adults,Male,Dress,Clothing,67,5683.61,Pennsylvania,XL,Olive,Summer,4.2,Yes,Cash,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
131,44,adults,Male,Scarf,Accessories,39,3308.37,Kentucky,L,Violet,Fall,3.7,Yes,Credit Card,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,28,Young adults,Male,Skirt,Clothing,29,2460.07,Maine,L,Indigo,Summer,3.9,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,Young adults,Male,Backpack,Accessories,58,4920.14,New Mexico,M,Orange,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,52,Middle-aged adults,Male,Sweater,Clothing,65,5513.95,Montana,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,25,Venmo,Annually
135,43,adults,Male,Hat,Accessories,94,7974.02,Texas,L,Gray,Fall,4.9,Yes,Credit Card,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,adults,Male,Sandals,Footwear,81,6871.23,Kansas,M,Purple,Fall,4.1,Yes,PayPal,Express,Yes,Yes,12,PayPal,Quarterly
137,39,adults,Male,Blouse,Clothing,86,7295.38,South Carolina,M,White,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,Seniors ,Male,Sneakers,Footwear,43,3647.69,Colorado,M,Turquoise,Spring,4.7,Yes,Cash,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,68,Seniors ,Male,Skirt,Clothing,29,2460.07,Georgia,M,Maroon,Winter,4.4,Yes,Cash,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,Middle-aged adults,Male,Coat,Outerwear,95,8058.85,Florida,M,White,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,30,Venmo,Annually
141,63,Seniors ,Male,Shirt,Clothing,28,2375.24,North Carolina,L,Yellow,Fall,3.9,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,Middle-aged adults,Male,Gloves,Accessories,46,3902.18,Virginia,M,Turquoise,Fall,4.9,Yes,PayPal,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,37,adults,Male,Jacket,Outerwear,58,4920.14,Nebraska,L,Violet,Fall,3.1,Yes,PayPal,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,Young adults,Male,Coat,Outerwear,48,4071.84,Missouri,M,Beige,Fall,2.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,19,Young adults,Male,Shoes,Footwear,43,3647.69,New Jersey,M,Silver,Fall,3.2,Yes,Credit Card,Express,Yes,Yes,25,Cash,Monthly
146,24,Young adults,Male,Jewelry,Accessories,95,8058.85,Missouri,M,Teal,Fall,4.5,Yes,Venmo,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,Middle-aged adults,Male,Skirt,Clothing,30,2544.9,Colorado,S,Black,Fall,4,Yes,Debit Card,Standard,Yes,Yes,21,Venmo,Fortnightly
148,63,Seniors ,Male,Shoes,Footwear,64,5429.12,Idaho,M,Purple,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,37,adults,Male,Gloves,Accessories,90,7634.7,Wyoming,M,Gray,Fall,2.6,Yes,PayPal,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,38,adults,Male,Pants,Clothing,76,6447.08,Delaware,M,White,Summer,3.2,Yes,Venmo,Free Shipping,Yes,Yes,14,PayPal,Monthly
151,35,adults,Male,Boots,Footwear,96,8143.68,California,L,Cyan,Fall,4.9,Yes,Bank Transfer,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,28,Young adults,Male,Sunglasses,Accessories,47,3987.01,North Dakota,L,Turquoise,Fall,4.5,Yes,Debit Card,Next Day Air,Yes,Yes,3,Venmo,Annually
153,30,Young adults,Male,Shirt,Clothing,85,7210.55,South Carolina,S,Brown,Summer,4.3,Yes,PayPal,Express,Yes,Yes,42,Venmo,Annually
154,69,Seniors ,Male,Hoodie,Clothing,55,4665.65,North Carolina,M,Maroon,Winter,3.2,Yes,Debit Card,Standard,Yes,Yes,22,Debit Card,Annually
155,41,adults,Male,Dress,Clothing,98,8313.34,Oklahoma,M,Charcoal,Fall,3.6,Yes,Debit Card,Next Day Air,Yes,Yes,21,Venmo,Quarterly
156,63,Seniors ,Male,Socks,Clothing,77,6531.91,Maine,S,Olive,Spring,4.3,Yes,Cash,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
157,35,adults,Male,Shorts,Clothing,26,2205.58,Missouri,M,Lavender,Fall,4,Yes,Venmo,Standard,Yes,Yes,40,Debit Card,Annually
158,36,adults,Male,Hat,Accessories,68,5768.44,Vermont,S,Yellow,Fall,3,Yes,Debit Card,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
